gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,16,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,694,8,7.2267,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0205,34.82,2209.34
gfx950,256,32,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2506,6,7.5014,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks6_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0173,67.1,2160.1
gfx950,256,48,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5661,6,8.6705,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks6_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0168,87.07,1896.24
gfx950,256,64,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5539,6,9.3708,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks6_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0174,107.42,1779.88
gfx950,256,80,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7757,6,10.5501,flydsl_hgemm_abf16_wbf16_bf16_t96x32x64x5_ks6_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0174,119.27,1603.44
gfx950,256,96,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2556,4,11.1193,flydsl_hgemm_abf16_wbf16_bf16_t32x32x128x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0135,135.8,1542.73
gfx950,256,112,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5449,3,11.3691,flydsl_hgemm_abf16_wbf16_bf16_t64x32x128x4_ks3_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0101,154.95,1529.73
gfx950,256,128,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5418,3,12.2091,flydsl_hgemm_abf16_wbf16_bf16_t64x32x128x4_ks3_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.01,164.9,1443.94
gfx950,256,144,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,13.9242,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0172,162.66,1283.14
gfx950,256,160,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,14.0313,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0172,179.35,1290.28
gfx950,256,176,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,6,14.3528,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0176,192.87,1277.93
gfx950,256,192,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,6,14.7209,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0174,205.14,1262.11
gfx950,256,208,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,15.4848,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0129,211.28,1215.19
gfx950,256,224,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,15.7205,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0128,224.12,1212.09
gfx950,256,240,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,16.0302,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0128,235.49,1203.49
gfx950,256,256,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,16.5697,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0129,243.01,1178.64
gfx950,256,512,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4001,3,23.1182,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks3_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.01,348.34,1009.2
gfx950,256,16,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,726,8,7.7332,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x5_ks8_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0212,39.05,2472.47
gfx950,256,32,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2689,8,8.4603,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0204,71.39,2289.03
gfx950,256,48,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6753,8,9.3964,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x7_ks8_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0208,96.42,2087.14
gfx950,256,64,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2033,3,9.9918,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks3_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0101,120.9,1987.37
gfx950,256,80,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6952,4,11.3633,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks4_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0133,132.88,1769.13
gfx950,256,96,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4164,3,11.6717,flydsl_hgemm_abf16_wbf16_bf16_t48x32x128x4_ks3_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0101,155.24,1743.44
gfx950,256,112,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5626,3,12.5497,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks3_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.01,168.44,1641.05
gfx950,256,128,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5557,3,13.1662,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks3_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0099,183.49,1582.87
gfx950,256,144,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,13.7646,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.015,197.46,1531.92
gfx950,256,160,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.1371,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0151,199.5,1409.25
