M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
16,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
80,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
112,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
144,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
160,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
176,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
192,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
208,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
224,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
240,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,1280,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
80,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
112,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
144,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
160,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
176,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
192,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
208,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
224,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
240,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,1536,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
80,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
112,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
144,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
160,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
176,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
192,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
208,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
224,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
240,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,3072,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
80,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
112,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,4992,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
48,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
80,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
96,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
112,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
144,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
160,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
176,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
192,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
208,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
224,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
240,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
64,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
80,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
96,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
112,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
144,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
160,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
176,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
192,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
208,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
224,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
240,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
512,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,25008,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,25008,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,25008,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,25008,6144,False,torch.bfloat16,torch.bfloat16,False,False
